caption,num_comments,taken_at,img_url,num_likes,username,may_contain,monsters
"We’ve just posted our #ManchesterBID Spring Newsletter online at Manchesterbid.com where we share 2018 successes @halloweenmcr @kingstfestival @beeinthecitymcr @chinesenewyearmcr #MCRStudentSocial with #manchesterarndale & our #MysteryShoppingMCR awards. £millions of press AVE across 100’s of national articles thanks to @echo_makemorenoise
..
..
Head to website to have a flick for 2019 diary dates, operational services and a reminder of who’s on the BID Board too 👈
..
..
Here’s a #FB to our @filthyluker #MCRMonsters that landed for #HalloweenMCR @houseoffraser @35dalest @manchesterarndale #piccadillyplace @mayfieldmanchester
We miss these guys 👾
..
..
#manchester #events #festivals #retail #pr #campaigns #businessimprovementdistrict",6,11/03/2019 14:16,https://scontent-lhr3-1.cdninstagram.com/vp/c21fff4625d7ae68b8ab6df83f24b5de/5E4F1E54/t51.2885-15/e35/52518148_687920544956043_1582927684876563943_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=103,106,citycomanchesterbid,Image may contain: shoes,green scream
"We’re so excited, #HalloweenMCR is our next event (26&27 October) and it’s set to be #spooktacular 👻 ..
The #MCRMonsters are coming.....
..
What’s On: visitmanchester.com/Halloween #HalloweenMCR
..
..
@the.manc @citylifemanchester @mcrwire @creativetourist @culturetrip @mcrfinest @mcrwithkids @familymanc",1,26/09/2019 16:17,https://scontent-lhr3-1.cdninstagram.com/vp/8d5272952c3cf4adbcc77ef11a34e8c9/5E4C1974/t51.2885-15/e35/s1080x1080/71193207_130296711674132_8601715609306176859_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=108,40,cityco.manchesterbid,Image may contain: plant and outdoor,event
"Look up! Look out! Beware! The monsters are back! FOLLOW @halloweenmcr #mcrmonsters #halloweenmcr .
.
#monsterinvasion #halloween #halloween2019 #spooky #manchester
.
.",0,01/10/2019 13:52,https://scontent-lhr3-1.cdninstagram.com/vp/f7edb8b8949695f142a13b283859e4f8/5DBAB0A7/t51.2885-15/e35/70094224_161779248357680_4556649642748237376_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=108,14,makeascenefilm,NA,other
"Head to @ManchesterArndale during #HalloweenintheCity for magical storytelling sessions of Room on the Broom with @Z.mcr. ⠀
⠀
Plus, keep your eye out for family favourite Zog, who will help you along the Trick or Treat Trail.⠀
⠀
#MCRmonsters ⠀⠀
#Halloween ⠀⠀
#HalloweenMCR⠀
#Manchester ⠀⠀
#MonsterInvasion ⠀⠀
#Halloween2019",2,10/10/2019 07:02,https://scontent-lhr3-1.cdninstagram.com/vp/22109f9d06cb6381218e519c36d87243/5E4CF630/t51.2885-15/fr/e15/s1080x1080/70428150_693332401150996_4837811622644420764_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=104,40,halloweenmcr,"Image may contain: one or more people, people on stage, child and outdoor",event
"Two weeks to go! 🎃 ⠀
⠀
#HalloweenMCR⠀
⠀⠀
#MCRmonsters ⠀⠀⠀
#Halloween ⠀⠀⠀
#Manchester ⠀⠀⠀
#MonsterInvasion ⠀⠀⠀
#Halloween2019",3,12/10/2019 17:16,https://scontent-lhr3-1.cdninstagram.com/vp/fa7042bffe62ec390a7e453761687965/5DBA4347/t51.2885-15/e15/71531869_492344664650237_7535780987687801221_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=105,37,halloweenmcr,NA,promo art
"Games!⠀
Rides!⠀
Prizes!⠀
Tricks!⠀
Treats!⠀
⠀
Step right up to Grimm Rita's Creepy Carnival, bursting with street performers, sideshow stalls & a traditional Helter-skelter. ⠀
⠀
www.halloweenMCR.com ⠀
⠀
#MCRmonsters ⠀⠀
#Halloween ⠀⠀
#HalloweenMCR⠀
#Manchester ⠀⠀
#MonsterInvasion ⠀⠀
#Halloween2019",2,15/10/2019 19:00,https://scontent-lhr3-1.cdninstagram.com/vp/b7a044db29b5364d6a88898dfe7ab371/5E4C31C6/t51.2885-15/fr/e15/s1080x1080/71037121_491398155046390_5535364785480165143_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=110,44,halloweenmcr,"Image may contain: one or more people, people standing, tree and outdoor",event
"Stunning picture of our #HalloweenMCR pumpkins. ⠀
⠀
Thanks @rebekah.zoe for sharing 🎃. ⠀
⠀
#MCRmonsters ⠀⠀⠀
#Halloween ⠀⠀⠀
#HalloweenMCR⠀⠀
#Manchester ⠀⠀⠀
#MonsterInvasion ⠀⠀⠀
#Halloween2019",0,16/10/2019 15:22,https://scontent-lhr3-1.cdninstagram.com/vp/0552d395a33cede9fc6727427e58da85/5E5C4424/t51.2885-15/e35/71198431_168421697601544_5317750093166597249_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=104,44,halloweenmcr,Image may contain: sky and outdoor,lanterns
"The Spooky Pooch Costume Show is back! ⠀
⠀
Sunday 27 October, @theoasthousemcr, @Spinningfields. ⠀
⠀
#MCRmonsters ⠀⠀
#Halloween ⠀⠀
#HalloweenMCR⠀
#Manchester ⠀⠀
#MonsterInvasion ⠀⠀
#Halloween2019⠀
#DogoftheDay⠀
#DogLover⠀
#Petstagram ⠀
#Dogsofig ⠀
#Dogs_of_Instagram ⠀
#PetsofInstagram ⠀
#PuppiesofInstagram⠀
#InstaPuppy",6,16/10/2019 19:22,https://scontent-lhr3-1.cdninstagram.com/vp/f733845b659c074eef6055f42493c71b/5E641B94/t51.2885-15/e35/s1080x1080/72267439_181815752864752_1432029834899294132_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=104,46,halloweenmcr,Image may contain: dog,other
"Get ready to follow the trail of Manchester monster madness this halloween - starting at @depotatmayfield! 👾 
#MCRmonsters #HalloweenMCR #Halloween2019 #ThisIsHalloween #linkinbio",1,18/10/2019 15:11,https://scontent-lhr3-1.cdninstagram.com/vp/dd5625f8382560c327dd79351e06b358/5E4890DC/t51.2885-15/e35/72361344_2447249538936030_5536868822524031099_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=106,190,mayfieldmanchester,Image may contain: night and outdoor,fake
"Head to #Halloween in the City for a whole host of free, family fun this October half term.⠀
⠀
Saturday 26 & Sunday 27 October, Manchester city centre⠀
⠀
www.halloweenmcr.com ⠀
⠀
#HalloweenMCR⠀
#MCRmonsters ⠀⠀
#Halloween ⠀⠀
#Manchester ⠀⠀
#MonsterInvasion ⠀⠀
#Halloween2019⠀
#HalfTerm 
@cityco.manchesterbid",0,18/10/2019 19:00,https://scontent-lhr3-1.cdninstagram.com/vp/fc8157a12d0575da47d8141ef502cce4/5E4D1F65/t51.2885-15/e15/71056421_228776274770831_3029765444753203158_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=111,18,halloweenmcr,Image may contain: one or more people,other
